Date,Description,Montant
01/01/2026,Salaire Janvier,2800.00
03/01/2026,Loyer Janvier,-750.00
05/01/2026,Courses Carrefour,-92.30
07/01/2026,Essence Total,-48.50
08/01/2026,Abonnement Netflix,-12.99
10/01/2026,Courses Leclerc,-67.80
12/01/2026,Restaurant Le Bistrot,-35.90
14/01/2026,Forfait mobile Free,-19.99
16/01/2026,Amazon - Câble USB,-14.99
18/01/2026,Pharmacie ordonnance,-22.50
20/01/2026,Cinéma Pathé,-11.50
22/01/2026,Uber trajet,-8.70
24/01/2026,Boulangerie Paul,-6.20
25/01/2026,Starbucks café,-5.80
26/01/2026,Spotify Premium,-9.99
28/01/2026,Zara vêtements,-79.90
30/01/2026,SNCF billet train,-45.00
01/02/2026,Salaire Février,2800.00
03/02/2026,Loyer Février,-750.00
04/02/2026,EDF électricité,-85.40
06/02/2026,Courses Auchan,-110.20
08/02/2026,Plein essence BP,-52.30
10/02/2026,Médecin généraliste,-25.00
12/02/2026,Deliveroo commande,-28.50
14/02/2026,Basic Fit abonnement,-29.99
15/02/2026,Freelance logo design,350.00
16/02/2026,Assurance habitation MAIF,-35.00
18/02/2026,Courses Lidl,-58.70
20/02/2026,Burger King,-12.40
22/02/2026,Fnac livre,-18.90
24/02/2026,Parking centre-ville,-4.50
26/02/2026,Coiffeur barbier,-25.00
28/02/2026,Adobe Creative Cloud,-23.99
01/03/2026,Salaire Mars,2800.00
02/03/2026,Prime trimestrielle,500.00
03/03/2026,Loyer Mars,-750.00
05/03/2026,Courses Carrefour,-88.60
06/03/2026,Eau Veolia,-42.30
07/03/2026,Uber Eats pizza,-22.90
09/03/2026,Décathlon running,-65.00
10/03/2026,Abonnement Netflix,-12.99
11/03/2026,Courses Monoprix,-43.20
13/03/2026,Péage autoroute A6,-15.80
14/03/2026,McDonald's,-9.50
15/03/2026,Freelance site web,600.00
16/03/2026,Ikea étagère,-49.99
18/03/2026,Forfait mobile Free,-19.99
19/03/2026,Essence Total,-47.20
20/03/2026,Sephora cosmétiques,-32.50
22/03/2026,Train OUIGO Paris,-25.00
24/03/2026,Airbnb weekend,-120.00
25/03/2026,Restaurant italien,-42.00
26/03/2026,Courses Leclerc,-76.40
28/03/2026,Vétérinaire chat,-55.00
29/03/2026,Spotify Premium,-9.99
30/03/2026,Vente Vinted,45.00
31/03/2026,CAF allocation logement,150.00
